SKU,MasterSKU,Stockist,COG,GSTPerc,TransportationCost,StockistMarkup
AFSUF9015BRBR,9015BROWN,OLD COMPANY,200,0.18,0,6
AFVS222BLACK,VS222BLACK,ASWIM,153,0.18,0,3.5
AFVS222BLBL,VS222BLACK,ASWIM,153,0.18,0,3.5
AFVS222BROWN,VS222BROWN,ASWIM,153,0.18,0,3.5
AFVS222TNTN,VS222TAN,ASWIM,153,0.18,0,3.5
AFWM00014MRBLU,14MRBLU,OLD COMPANY,255,0.18,0,6
AFWM00014TNBL,14TNBL,OLD COMPANY,255,0.18,0,6
AFWM00014V9BLBL,14BLACK,OLD COMPANY,255,0.18,0,6
AFWM00014V9BLRED,14BLRED,OLD COMPANY,255,0.18,0,6
AFWM00014V9BRBR,14BROWN,OLD COMPANY,255,0.18,0,6
AFWM00014V9MRBL,14MRBL,OLD COMPANY,255,0.18,0,6
AFWM00024BLBL,24BLACK,OLD COMPANY,250,0.18,0,6
AFWM00024BRBL,24BROWN,ASWIM,195,0.18,0,5
AFWM00024BRTN,24BRTN,OLD COMPANY,250,0.18,0,6
AFWM00024MRBL,24MRBL,OLD COMPANY,250,0.18,0,6
AFWM00024MRBLU,24MRBLU,OLD COMPANY,250,0.18,0,6
AFWM00024REDBL,24REDBL,OLD COMPANY,250,0.18,0,6
AFWM00024TNBL,24TNBL,OLD COMPANY,250,0.18,0,6
AFWM00024TNBR,24TNBR,OLD COMPANY,250,0.18,0,6
AFWM00024V1BLBL,24BLACK,OLD COMPANY,250,0.18,0,6
AFWM00024V1MRBLU,24MRBLU,OLD COMPANY,250,0.18,0,6
AFWM00024V1TNBL,24TNBL,OLD COMPANY,250,0.18,0,6
AFWM00024V9BRTN,24BRTN,OLD COMPANY,250,0.18,0,6
AFWM00024V9TNBR,24TNBR,OLD COMPANY,250,0.18,0,6
AFWM00024V9TNBR,24TNBR,OLD COMPANY,250,0.18,0,6
AFWM0024BRBR,24BROWN,ASWIM,195,0.18,0,5
AFWMAT0013BLBL,13BLACK,OLD COMPANY,255,0.18,0,6
FRAT07BLBLFA,AT7BLACK,OLD COMPANY,150,0.18,0,3.5
FRV1AT7BRBR,AT7BROWN,OLD COMPANY,164,0.18,0,3.5
FRV1AT7TNTN,AT7TAN,OLD COMPANY,164,0.18,0,3.5
